date,temp,skt,dir,vel,hr,prec,pres,temp_jci,skt_jci,dir_jci,vel_jci,hr_jci,prec_jci,pres_jci
2005-01-17 12:00:00+00:00,3.2,4.1,267.0,2.7,68.0,0.0,988.2,1,1,1,1,1,1,1
2005-01-17 15:00:00+00:00,4.4,7.5,263.0,2.9,60.0,0.0,989.4,1,1,1,1,1,1,1
2005-01-17 18:00:00+00:00,0.9,1.3,281.0,2.0,89.0,0.0,990.7,1,1,1,1,1,1,1
2005-01-17 21:00:00+00:00,1.1,1.6,286.0,2.7,90.0,0.0,991.2,1,1,1,1,1,1,1
2005-01-18 00:00:00+00:00,1.0,1.1,220.0,1.5,86.0,0.0,992.1,1,1,1,1,1,1,1
2005-01-18 03:00:00+00:00,0.9,0.8,210.0,2.4,86.0,0.0,993.0,1,1,1,1,1,1,1
2005-01-18 06:00:00+00:00,1.2,0.9,201.0,2.3,84.0,0.0,993.7,1,1,1,1,1,1,1
2005-01-18 09:00:00+00:00,1.2,1.0,209.0,1.9,85.0,0.0,994.8,1,1,1,1,1,1,1
2005-01-18 12:00:00+00:00,1.1,1.0,240.0,1.3,88.0,0.0,995.5,1,1,1,1,1,1,1
2005-01-18 15:00:00+00:00,1.9,2.5,247.0,1.1,83.0,0.0,996.1,1,1,1,1,1,1,1
2005-01-18 18:00:00+00:00,1.9,2.5,236.0,1.6,78.0,0.0,997.0,1,1,1,1,1,1,1
2005-01-18 21:00:00+00:00,1.5,1.6,198.0,0.9,80.0,0.0,997.6,1,1,1,1,1,1,1
2005-01-19 00:00:00+00:00,1.3,1.3,238.0,1.5,77.0,0.0,998.3,1,1,1,1,1,1,1
2005-01-19 03:00:00+00:00,1.2,0.9,218.0,1.7000000000000002,76.0,0.0,998.9,1,1,1,1,1,1,1
2005-01-19 06:00:00+00:00,1.3,0.9,198.0,2.4,82.0,0.0,999.4,1,1,1,1,1,1,1
2005-01-19 09:00:00+00:00,1.6,1.2,246.0,1.0,87.0,0.0,999.6,1,1,1,1,1,1,1
2005-01-19 12:00:00+00:00,2.0,1.8,198.0,0.6000000000000001,85.0,0.0,999.8,1,1,1,1,1,1,1
2005-01-19 15:00:00+00:00,2.0,2.5,290.0,2.3,87.0,0.0,999.3,1,1,1,1,1,1,1
2005-01-19 18:00:00+00:00,2.5,2.5,256.0,0.1,83.0,0.0,998.4,1,1,1,1,1,1,1
2005-01-19 21:00:00+00:00,2.0,2.5,293.0,2.1,88.0,0.0,997.7,1,1,1,1,1,1,1
2005-01-20 00:00:00+00:00,1.6,1.4,222.0,1.0,87.0,0.0,996.8,1,1,1,1,1,1,1
2005-01-20 03:00:00+00:00,1.0,0.5,43.0,2.7,83.0,0.0,994.8,1,1,1,1,1,1,1
2005-01-20 06:00:00+00:00,0.7000000000000001,0.4,30.0,1.6,87.0,0.0,992.4,1,1,1,1,1,1,1
2005-01-20 09:00:00+00:00,3.2,2.8,39.0,2.5,79.0,0.0,989.6,1,1,1,1,1,1,1
2005-01-20 12:00:00+00:00,5.7,5.3,66.0,3.8,63.0,0.0,986.8,1,1,1,1,1,1,1
2005-01-20 15:00:00+00:00,5.2,4.9,66.0,8.3,66.0,0.0,983.6,1,1,1,1,1,1,1
